Оздоров. гимнаст. 1ч  (нр, стд, пнс);120;6;;0;False;шт;51;0;;;;;;;;;;;;;;;0;;0;0
Оздоров. гимнаст. 1ч (взр);150;6;;0;False;шт;52;0;;;;;;;;;;;;;;;0;;0;0
Озд. гимнаст. аб. 8 по 1ч (дети);710;6;;0;False;шт;53;0;;;;;;;;;;;;;;;0;;0;0
Озд. гим. аб. 8 по 1ч (нр, стд, пнс);950;6;;0;False;шт;54;0;;;;;;;;;;;;;;;0;;0;0
Озд. гимнаст. аб. 8 по 1ч (взр);1200;6;;0;False;шт;55;0;;;;;;;;;;;;;;;0;;0;0
Спортзал для тенниса 1ч;1500;3;;0;False;шт;56;0;;;;;;;;;;;;;;;0;;0;0
Спортзал для игр. вид. спорта;1950;2;;0;False;шт;57;0;;;;;;;;;;;;;;;0;;0;0
Бильярд 1ч/1чел (дети);45;5;;0;False;шт;58;0;;;;;;;;;;;;;;;0;;0;0
Бильярд 1ч/1чел (нр, стд, пнс);80;5;;0;False;шт;59;0;;;;;;;;;;;;;;;0;;0;0
Бильярд 1ч/1чел (взр);100;5;;0;False;шт;60;0;;;;;;;;;;;;;;;0;;0;0
Бильярд 1стол/1ч (дети);70;5;;0;False;шт;61;0;;;;;;;;;;;;;;;0;;0;0
Бильярд 1стол/1ч (нр, стд, пнс);110;5;;0;False;шт;62;0;;;;;;;;;;;;;;;0;;0;0
Бильярд 1стол/1ч (взр);145;5;;0;False;шт;63;0;;;;;;;;;;;;;;;0;;0;0
Бильярд аб. 8 по 1ч (дети);350;5;;0;False;шт;64;0;;;;;;;;;;;;;;;0;;0;0
Бильярд аб. 8 по 1ч (взр);800;5;;0;False;шт;65;0;;;;;;;;;;;;;;;0;;0;0
Дартс 0,5ч (дети);20;7;;0;False;шт;66;0;;;;;;;;;;;;;;;0;;0;0
Дартс 0,5ч (нр, стд, пнс);40;7;;0;False;шт;67;0;;;;;;;;;;;;;;;0;;0;0
Дартс 0,5ч (взр);50;7;;0;False;шт;68;0;;;;;;;;;;;;;;;0;;0;0
Дартс 1ч (дети);45;7;;0;False;шт;69;0;;;;;;;;;;;;;;;0;;0;0
Дартс 1ч (нр, стд, пнс);80;7;;0;False;шт;70;0;;;;;;;;;;;;;;;0;;0;0
Дартс 1ч (взр);100;7;;0;False;шт;71;0;;;;;;;;;;;;;;;0;;0;0
Дартс аб. 8 по 1ч (дети);350;7;;0;False;шт;72;0;;;;;;;;;;;;;;;0;;0;0
Дартс аб. 8 по 1ч (взр);750;7;;0;False;шт;73;0;;;;;;;;;;;;;;;0;;0;0
;0;6;;0;False;шт;0;0;;;;;;;;;;;;;;;0;;0;0
Мини-футбол 1ч дет.;45;6;;0;False;шт;75;0;;;;;;;;;;;;;;;0;;0;0
Мини-футбол 1ч.;70;6;;0;False;шт;76;0;;;;;;;;;;;;;;;0;;0;0
Мини-футбол 1ч. взр.;100;6;;0;False;шт;77;0;;;;;;;;;;;;;;;0;;0;0
Мини-футбол абон 8 посещ. дет.;350;6;;0;False;шт;78;0;;;;;;;;;;;;;;;0;;0;0
Мини-футбол абон 8 посещ. взр.;800;6;;0;False;шт;79;0;;;;;;;;;;;;;;;0;;0;0
Спорт. зал мини-футбол 1ч.;2150;6;;0;False;шт;80;0;;;;;;;;;;;;;;;0;;0;0
;0;6;;0;False;шт;0;0;;;;;;;;;;;;;;;0;;0;0
Тренажерный зал;90;1;;0;False;шт;82;0;;;;;;;;;;;;;;;0;;0;0
Баскетбол;85;1;;0;False;шт;83;0;;;;;;;;;;;;;;;0;;0;0
Волейбол;85;1;;0;False;шт;84;0;;;;;;;;;;;;;;;0;;0;0
Мини-футбол;40;1;;0;False;шт;85;0;;;;;;;;;;;;;;;0;;0;0
